Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\SiWx917 4-Layer Radio Board\Project Outputs for BRD9057A SiWx917 4-layer Ext Switch\Assembly\BRD9057A_SiWx917M_4-Layer_ExtSw_REF_DES_A01_XYR.txt

========================================================================================================================
File Design Information:

Date:       04/12/24
Time:       15:05
Revision:   a1ececd66849b9baa113f11d88e1a9cc09d8e4a8
Variant:    BRD9057A
Units used: mil

Designator Comment                            Layer       Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                             
BTN100     "PTS810 SJM 250 SMTR LFS"          TopLayer    SW_PTS810SJM250SMTRLFS            944.882       118.110       0        "Tactile Switch SPST-NO 0.05A 16V"                                      
R219       "RES 0402 0R"                      BottomLayer R0402                             116.142       375.984       90       "RES 0402 0R"                                                           
R6         "RES 0201 33R 1/20W 1% 200ppm"     TopLayer    R0201                             824.803       779.528       0        "RES 0201 33R 1/20W 1% 200ppm"                                          
L4         LQP03HQ6N2H02                      TopLayer    COIL_0201_GM                      389.764       771.654       0        "IND Fixed 0201 6.2nH 400mA 250mOhm 3%"                                 
L3         LQP03HQ4N0B02D                     TopLayer    COIL_0201_GM                      425.197       781.496       90       "IND Fixed 0201 4nH 500mA 170mOhm ±0.1nH"                               
L1         LQP03HQ3N5B02                      TopLayer    COIL_0201_GM                      476.378       817.913       90       "IND Fixed 0201 3.5nH 500mA 170mOhm ±0.1nH"                             
L5         DFE201210U-1R0M#                   TopLayer    INDC2012X100N_DFE                 746.063       419.291       0        "IND Fixed 0805 1uH 2A 95mOhm 20%"                                      
J1         U.FL-R-SMT-1                       TopLayer    KLS1-IPEX_2.6x2.6                 667.815       1282.480      180      "CONN RF 50OHM UFL_2.6x2.6 SMD"                                         
FL1        LTB-1005-2G4H6-A4-PS               TopLayer    BPF_LTB-1005-2G4H6-A2-PS_GM       500.984       996.063       90       "FILTER BAND PASS 0402-4Pin 2.45GHz 100MHz"                             
C11        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          541.338       830.709       270      "CAP CER 0201 X5R 100nF 16V 10%"                                        
C13        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          338.583       718.504       0        "CAP CER 0201 X5R 100nF 16V 10%"                                        
C12        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          338.583       673.228       0        "CAP CER 0201 X5R 100nF 16V 10%"                                        
C22        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          338.583       639.764       0        "CAP CER 0201 X5R 1uF 16V 20%"                                          
C20        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          508.858       811.024       270      "CAP CER 0201 X5R 100nF 16V 10%"                                        
C19        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          519.685       877.953       270      "CAP CER 0201 X5R 1uF 16V 20%"                                          
C7         GRM0335C1H180GA01                  TopLayer    C0201_GM                          500.984       1126.968      90       "CAP CER 0201 C0G 18pF 50V 2%"                                          
C6         GRM0335C1H180GA01                  TopLayer    C0201_GM                          490.158       950.787       0        "CAP CER 0201 C0G 18pF 50V 2%"                                          
C9         GJM0335C1E8R2BB01                  TopLayer    C0201_GM                          399.606       836.614       90       "CAP CER 0201 C0G 8.2pF 25V ±0.1pF"                                     
C4         "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          338.583       746.063       0        "CAP CER 0201 X5R 100nF 16V 10%"                                        
C3         "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          296.260       767.716       0        "CAP CER 0201 X5R 1uF 16V 20%"                                          
C5         GRM0335C1HR70WA01                  TopLayer    C0201_GM                          464.567       785.433       0        "CAP CER 0201 C0G 0.7pF 50V ±0.05pF"                                    
C1         GJM0335C1E8R2BB01                  TopLayer    C0201_GM                          476.378       884.842       90       "CAP CER 0201 C0G 8.2pF 25V ±0.1pF"                                     
C209       "CAP CER 0603 X5R 10uF 16V 10%"    BottomLayer C0603                             379.921       358.268       270      "CAP CER 0603 X5R 10uF 16V 10%"                                         
C208       "CAP CER 0201 X5R 100nF 16V 10%"   BottomLayer C0201_GM                          338.583       379.921       90       "CAP CER 0201 X5R 100nF 16V 10%"                                        
C43        "CAP CER 0201 X5R 10nF 16V 10%"    TopLayer    C0201_GM                          596.457       427.165       270      "CAP CER 0201 X5R 10nF 16V 10%"                                         
C42        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          327.756       616.142       0        "CAP CER 0201 X5R 100nF 16V 10%"                                        
C44        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          529.528       427.165       90       "CAP CER 0201 X5R 1uF 16V 20%"                                          
C45        "CAP CER 0201 X5R 2.2uF 10V 20%"   TopLayer    C0201_GM                          411.417       429.134       90       "CAP CER 0201 X5R 2.2uF 10V 20%"                                        
C40        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          433.071       385.827       90       "CAP CER 0201 X5R 1uF 16V 20%"                                          
C46        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          712.598       604.331       180      "CAP CER 0201 X5R 1uF 16V 20%"                                          
C39        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          698.819       503.937       180      "CAP CER 0201 X5R 1uF 16V 20%"                                          
C36        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          645.669       769.685       180      "CAP CER 0201 X5R 100nF 16V 10%"                                        
C38        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          718.504       748.032       180      "CAP CER 0201 X5R 100nF 16V 10%"                                        
C35        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          314.961       551.181       0        "CAP CER 0201 X5R 100nF 16V 10%"                                        
C33        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          704.724       681.102       180      "CAP CER 0201 X5R 100nF 16V 10%"                                        
C32        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          657.480       425.197       90       "CAP CER 0201 X5R 100nF 16V 10%"                                        
C34        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          655.512       793.307       180      "CAP CER 0201 X5R 100nF 16V 10%"                                        
C31        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          698.819       474.409       180      "CAP CER 0201 X5R 1uF 16V 20%"                                          
C30        "CAP CER 0201 X5R 1uF 16V 20%"     TopLayer    C0201_GM                          698.819       539.370       180      "CAP CER 0201 X5R 1uF 16V 20%"                                          
C37        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          671.260       820.866       180      "CAP CER 0201 X5R 100nF 16V 10%"                                        
C27        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          708.661       578.740       180      "CAP CER 0201 X5R 100nF 16V 10%"                                        
C29        "CAP CER 0603 X5R 10uF 16V 10%"    TopLayer    C0603                             759.842       356.299       0        "CAP CER 0603 X5R 10uF 16V 10%"                                         
C28        "CAP CER 0201 X5R 100nF 16V 10%"   TopLayer    C0201_GM                          633.858       425.197       90       "CAP CER 0201 X5R 100nF 16V 10%"                                        
C26        "CAP CER 0603 X5R 10uF 16V 10%"    TopLayer    C0603                             661.417       354.331       180      "CAP CER 0603 X5R 10uF 16V 10%"                                         
MARK4      "BOARD INFO FRAME 19MM"            BottomLayer BOARD_INFO_FRAME_SILK-Footprint-1 -5708.663     -4921.260     180      "Board info frame 19MM x 6MM, Silkscreen"                               
P200       2344-220MS3CUNR8                   BottomLayer SAMTEC_SFC-120-T2-L-D-A           590.550       1141.733      0        "SOCKET 2X20 1.27MM SMD VRT KEYED"                                      
P201       2344-220MS3CUNR8                   BottomLayer SAMTEC_SFC-120-T2-L-D-A           590.550       196.851       0        "SOCKET 2X20 1.27MM SMD VRT KEYED"                                      
