Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
TPJ9,TP_1.0_SMD,28.85mm,18.5mm,28.85mm,18.5mm,28.85mm,18.5mm,B,90,TPJ_SMD
TPJ8,TP_1.0_SMD,16.6mm,30.4mm,16.6mm,30.4mm,16.6mm,30.4mm,B,90,TPJ_SMD
TPJ7,TP_1.0_SMD,17.49mm,28.03mm,17.49mm,28.03mm,17.49mm,28.03mm,B,90,TPJ_SMD
TPJ6,TP_1.0_SMD,20.02mm,28.07mm,20.02mm,28.07mm,20.02mm,28.07mm,B,90,TPJ_SMD
TPJ4,TP_1.0_SMD,20.05mm,25.55mm,20.05mm,25.55mm,20.05mm,25.55mm,B,90,TPJ_SMD
TPJ3,TP_1.0_SMD,18.7mm,17.3mm,18.7mm,17.3mm,18.7mm,17.3mm,B,90,TPJ_SMD
TPJ2,TP_1.0_SMD,19.1mm,30.88mm,19.1mm,30.88mm,19.1mm,30.88mm,B,90,TPJ_SMD
TPJ1,TP_1.0_SMD,18.75mm,14.75mm,18.75mm,14.75mm,18.75mm,14.75mm,B,90,TPJ_SMD
P200,SAM_SFC-120-T2-D-A-2X20_SNUM,16mm,35mm,16mm,35mm,3.935mm,33.55mm,B,360,SOCKET_WCON_2X20_1.27MM_SMD
TPJ20,TP_1.0_SMD,4.34mm,7.45mm,4.34mm,7.45mm,4.34mm,7.45mm,B,90,TPJ_SMD
C205,C0805_L,2.025mm,16.55mm,2.025mm,16.55mm,2.825mm,16.55mm,B,180,10U
C203,C0201_L,3.725mm,14.9mm,3.725mm,14.9mm,3.725mm,15.175mm,B,270,100N
TP1,TP_INGUN_50_OHM_CLOSED_OPENVIA,24.845mm,39.71mm,24.845mm,39.135mm,24.845mm,39.135mm,B,360,TP_RF
U200,TDFN8_M050_2.0X3.0_EP,25.475mm,27.025mm,25.475mm,27.025mm,24.725mm,28.475mm,B,270,M24C02
R247,R0603_L,13mm,6.1mm,13mm,6.1mm,13mm,5.4mm,B,90,0R
SH100,RF_SHIELD_FRAME_BMI-S-203-F_PCB4270,16mm,24.825mm,16mm,24.825mm,28.9945mm,37.8195mm,T,360,RF_SHIELD_FRAME_BMI-S-203-F
R216,R0402_L,13.9501mm,15.0751mm,13.95mm,15.075mm,13.9501mm,14.6251mm,B,90,0R
CR1,C0201_L,14.875mm,29.275mm,14.875mm,29.275mm,14.875mm,29mm,T,90,Unused
CC1,C0201_L,14.25mm,32.275mm,14.25mm,32.275mm,13.975mm,32.275mm,T,0,100pF
CP1,C0201_L,12.9mm,28.725mm,12.9mm,28.725mm,12.625mm,28.725mm,T,0,1.5pF
