Designator;Footprint;Mid X;Mid Y;Ref X;Ref Y;Pad X;Pad Y;TB;Rotation;Comment
P2;COAX_HIROSE_U.FL_CL331-0471;5.025mm;26.45mm;4.225mm;26.45mm;5.825mm;26.45mm;T;270.00;U.FL
X2;X_MCS_CM8V-T1A;5.6896mm;14.1859mm;5.6896mm;14.1859mm;5.6896mm;13.4359mm;T;90.00;32.768kHz
X1;X_SSS_DSX211SH_2.05X1.65-4;16.5862mm;19.7104mm;16.5862mm;19.7104mm;15.8862mm;19.1604mm;T;360.00;38.400 MHz
U100;BGA8_M040_1.24X1.75_WLCSP;14.6431mm;11.2776mm;14.6431mm;11.2776mm;14.9931mm;10.8776mm;T;180.00;MX25R8035F
U1;QFN48_M050_SQ7.0_EP_SL_L;11.35mm;17mm;11.35mm;17mm;14.7mm;14.25mm;T;180.00;EFR32MG1P233F256GM48
SH100;RF_SHIELD_FRAME_BMI-S-203-F_PCB4100;15mm;19.3mm;15mm;19.3mm;27.9945mm;32.2945mm;T;360.00;RF_SHIELD_FRAME_BMI-S-203-F
L1;L0201_L;10.2616mm;22.0218mm;10.2616mm;22.0218mm;10.2616mm;21.7518mm;T;90.00;
L100;COIL_MUR_LQH3NP_1212;7.4041mm;10.6426mm;7.4041mm;10.6426mm;7.4041mm;11.8926mm;T;270.00;4U7
L102;COIL_MUR_BLM18_0603;17.9832mm;17.0942mm;17.9832mm;17.0942mm;17.9832mm;16.3942mm;T;90.0;BLM18AG601SN1
L103;COIL_MUR_BLM18_0603;7.05mm;23.1mm;7.05mm;23.1mm;6.35mm;23.1mm;T;360.00;BLM18AG601SN1
RP200;RES_MNR04-8;16.2814mm;11.7856mm;16.2814mm;11.7856mm;15.8314mm;11.0356mm;B;90.00;100R
P1;TE_SMA_1814832_TH_VER;25.6mm;38.6mm;25.6mm;38.6mm;25.6mm;38.6mm;T;360.00;SMA
C1;C0201_L;10.668mm;21.1836mm;10.668mm;21.1836mm;10.943mm;21.1836mm;T;180.00;
L4;L0201_L;12.624mm;21.996mm;12.624mm;21.996mm;12.624mm;22.266mm;T;270.00;
L5;L0201_L;14.732mm;21.4376mm;14.732mm;21.4376mm;14.732mm;21.7076mm;T;270.00;
L6;L0201_L;13.716mm;24.765mm;13.716mm;24.765mm;13.716mm;25.035mm;T;270.00;
L7;L0201_L;13.716mm;26.4922mm;13.716mm;26.4922mm;13.716mm;26.7622mm;T;270.00;
C11;C0201_L;13.716mm;27.6098mm;13.716mm;27.6098mm;13.716mm;27.3348mm;T;90.00;
