"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R27","0201","32.5346mm","9.5867mm","32.5346mm","9.32mm","32.5346mm","9.32mm","T","90.00","R27"
"R28","0201","31.5173mm","13.2009mm","31.784mm","13.2009mm","31.784mm","13.2009mm","T","180.00","R28"
"R29","0201","31.5138mm","13.6982mm","31.7805mm","13.6982mm","31.7805mm","13.6982mm","T","180.00","R29"
"R30","0201","31.5112mm","14.2034mm","31.7779mm","14.2034mm","31.7779mm","14.2034mm","T","180.00","R30"
"R31","0201","31.5112mm","14.7135mm","31.7779mm","14.7135mm","31.7779mm","14.7135mm","T","180.00","R31"
"R32","0201","32.0246mm","6.9388mm","32.2913mm","6.9388mm","32.2913mm","6.9388mm","T","180.00","R32"
"R33","0201","33.2689mm","5.5855mm","33.2689mm","5.3188mm","33.2689mm","5.3188mm","T","90.00","R33"
"R34","0201","31.6123mm","9.0531mm","31.6123mm","8.7864mm","31.6123mm","8.7864mm","T","90.00","R34"
"R35","0201","32.3878mm","8.78mm","32.6545mm","8.78mm","32.6545mm","8.78mm","T","180.00","R35"
"R36","0201","28.1297mm","3.0404mm","27.863mm","3.0404mm","27.863mm","3.0404mm","T","360.00","R36"
"R37","0201","33.6675mm","3.5072mm","33.4008mm","3.5072mm","33.4008mm","3.5072mm","T","360.00","R37"
"R38","0201","30.9514mm","3.0434mm","30.6847mm","3.0434mm","30.6847mm","3.0434mm","T","360.00","R38"
"RE","Sensor_Electrode","31.211mm","1.3508mm","30.957mm","1.2111mm","31.211mm","1.3508mm","T","0.00","Sensor Electrode"
"TP1","TP","14.7483mm","7.0942mm","14.7483mm","7.0942mm","14.7483mm","7.0942mm","T","90.00","TP_SMD"
"TP3","TP","16.5412mm","10.5148mm","16.5412mm","10.5148mm","16.5412mm","10.5148mm","T","90.00","TP_SMD"
"TP9","TP","21.3215mm","14.6969mm","21.3215mm","14.6969mm","21.3215mm","14.6969mm","T","90.00","TP_SMD"
"TP10","TP","21.1214mm","15.9535mm","21.1214mm","15.9535mm","21.1214mm","15.9535mm","T","90.00","TP_SMD"
"TP15","TP","23.1158mm","9.588mm","23.1158mm","9.588mm","23.1158mm","9.588mm","T","90.00","TP_SMD"
"TP16","TP","23.7929mm","4.4221mm","23.7929mm","4.4221mm","23.7929mm","4.4221mm","T","90.00","TP_SMD"
"TP17","TP","32.3855mm","3.1892mm","32.3855mm","3.1892mm","32.3855mm","3.1892mm","T","90.00","TP_SMD"
"TP18","TP","34.4602mm","5.8224mm","34.4602mm","5.8224mm","34.4602mm","5.8224mm","T","90.00","TP_SMD"
"TP19","TP","25.4808mm","2.8781mm","25.4808mm","2.8781mm","25.4808mm","2.8781mm","T","90.00","TP_SMD"
"TP20","TP","35.162mm","7.7714mm","35.162mm","7.7714mm","35.162mm","7.7714mm","T","90.00","TP_SMD"
"U2","SON50P400X400X80-15N","27.1704mm","14.7531mm","27.1704mm","14.7531mm","29.1204mm","13.2531mm","T","180.00","U2"
"U3","SOP65P640X120-14N","27.304mm","7.3894mm","27.304mm","7.3894mm","24.434mm","9.3394mm","T","360.00","U3"
"U4","SON100P300X300X121-7N","32.9007mm","22.3733mm","32.9007mm","22.3733mm","34.3507mm","21.3733mm","T","180.00","U4"
"WE","Sensor_Electrode","28.3929mm","1.3508mm","28.1389mm","1.2238mm","28.3929mm","1.3508mm","T","0.00","Sensor Electrode"
"C29","C_0402","26.3022mm","24.2141mm","26.3022mm","23.764mm","26.3022mm","23.764mm","T","360.00","C29"
"C30","C_0402","25.7246mm","20.8051mm","25.7246mm","20.355mm","25.7246mm","20.355mm","T","360.00","C30"
"R39","0201","28.37mm","23.302mm","28.37mm","23.0353mm","28.37mm","23.0353mm","T","90.00","R39"
"R40","0201","26.9984mm","24.3942mm","26.9984mm","24.6609mm","26.9984mm","24.6609mm","T","270.00","R40"
"R41","0201","27.6675mm","23.2928mm","27.6675mm","23.5595mm","27.6675mm","23.5595mm","T","270.00","R41"
"R42","0201","26.4198mm","20.9916mm","26.4198mm","21.2583mm","26.4198mm","21.2583mm","T","270.00","R42"
"R43","0201","28.0901mm","20.1574mm","28.3568mm","20.1574mm","28.3568mm","20.1574mm","T","180.00","R43"
"R44","0201","27.1252mm","19.9273mm","27.1252mm","20.194mm","27.1252mm","20.194mm","T","270.00","R44"
"T1","SOT883_B_FIXED","28.022mm","24.4015mm","28.022mm","24.4015mm","27.672mm","24.1765mm","T","0.00","T1"
"T2","SOT883_B_FIXED","27.4734mm","21.0155mm","27.4734mm","21.0155mm","27.8234mm","21.0155mm","T","0.00","T2"

